control: controls controlled controlling controller controllable controllability controllableness controllably controllingly noncontrollable noncontrollably noncontrolled noncontrolling overcontrolled overcontrolling precontrolled precontrolling quasi-controlled quasi-controlling subcontrolled subcontrolling uncontrolled uncontrolling well-controlled | control noncontrol overcontrol precontrol quasi-control subcontrol uncontrol well-control 
contribute: contributes contrubuted contributing contributable contributive contributively contributiveness noncontributable noncontributing noncontributive noncontributively noncontributiveness overcontribute overcontributed overcontributing precontribute precontributed precontributing precontributive uncontributed uncontributing uncontributive uncontributively uncontributiveness | contribut noncontribut overcontribut precontribut uncontribut 
normal: normality normalness antinormal antinormalness antinormality half-normal half-normally hypernormal hypernormally hypernormalness hypernormality nonnormal nonnormally nonnormalness nonnormality nonnormalities overnormal overnormally overnormality quasi-normal quasi-normally seminormal seminormally seminormalness seminormality transnormal transnormally unnormal unnormally unnormalness normalcy | normal antinorm half-norm hypernorm nonnorm overnorm quasi-norm seminorm transnorm unnorm normalci 
product: products produce produces produced producing producible produceable productible producibility productibility producibleness produceableness interproduce interproduced interproducing misproduce misproduced misproducing nonproducible nonproducing outproduce outproduced outproducing superproduce superproduced superproducing unproduced unproducible | product produc interproduc misproduc nonproduc outproduc superproduc unproduc 
democrat: democratic democratically antidemocratic antidemocratical antidemocratically half-democratic hyperdemocratic nondemocratic nondemocratical nondemocratically predemocratic prodemocratic pseudo-democratic pseudodemocratic pseudodemocratically quasi-democratic quasi-democratically superdemocratic superdemocratically undemocratic undemocratically | democrat antidemocrat half-democrat hyperdemocrat nondemocrat predemocrat prodemocrat pseudo-democrat pseudodemocrat quasi-democrat superdemocrat undemocrat 
develop: develops developing developed developer developmental developmentary developmentally antidevelopment hyperdevelopment hyperdevelopmental nondevelopment nondevelopmental nondevelopmentally postdevelopmental predevelopment self-development subdevelopment superdevelopment undevelopmental undevelopmentally | develop development developmentari antidevelop hyperdevelop hyperdevelopment nondevelop nondevelopment postdevelopment predevelop self-develop subdevelop superdevelop undevelop undevelopment 
focus: focuses focused focusing focusable focuser misfocused misfocusing misfocussed misfocussing overfocused overfocusing overfocussed overfocussing refocused refocusing refocussed refocussing self-focused self-focusing self-focussed self-focussing unfocusing unfocussing well-focused well-focussed | focus misfocus misfocuss overfocus overfocuss refocus refocuss self-focus self-focuss unfocus unfocuss well-focus well-focuss 
identity: identification identify identifies identified indentifying identifiable identifiability identifiableness identifier overidentify overidentified overidentifying preidentify preidentified preidentifying reidentify reidentified reidentifying unidentifiable unidentifiably unidentified unidentifying well-identified identifiably | ident identif identifi overidentifi preidentifi reidentifi unidentifi well-identifi 
complete: completes completed completing completable completedness completely completeness completer completive completively half-completed precompleteness quasi-complete quasi-completely subcomplete subcompletely subcompleteness uncompletable uncomplete uncompletely uncompleteness uncompleted well-completed completion | complet completed half-complet precomplet quasi-complet subcomplet uncomplet well-complet 
realize: realizes realized realizing realizable realizability realizableness realizably realizer hyperrealize hyperrealized hyperrealizing nonrealizable nonrealizing prerealize prerealized prerealizing underrealize underrealized underrealizing unrealize unrealized unrealizing realisable realisably realization realisation realiser | realiz hyperr nonrealiz nonreal prereal underr unreal realis 
religion: religious religiously religiousness antireligious antireligiously nonreligious nonreligiously nonreligiousness overreligious overreligiously prereligious pseudoreligious pseudoreligiously quasi-religious quasi-religiously ultrareligious ultrareligiously ultrareligiousness | religion religi antireligi nonreligi overreligi prereligi pseudoreligi quasi-religi ultrareligi 
measure: measures measured measuring measurement measurements measurer intermeasure intermeasured intermeasuring mismeasure mismeasured mismeasuring outmeasure outmeasured outmeasuring premeasure premeasured premeasuring remeasure remeasured remeasuring undermeasure undermeasured undermeasuring | measur intermeasur mismeasur outmeasur premeasur remeasur undermeasur 
recognize: recognizes recognized recognizing recognizable recognizability recognizably recognizer nonrecognized prerecognize prerecognized prerecognizing quasi-recognized unrecognizable unrecognizably unrecognized unrecognizing well-recognized recognisable recognisability recognisably recogniser | recogn recogniz nonrecogn prerecogn quasi-recogn unrecogniz unrecogn well-recogn recognis 
judge: judges judged judging judgeable judgelike judgingly rejudge rejudged rejudging subjudge underjudge underjudged underjudging unjudgeable unjudged unjudgelike unjudging | judg judgeabl judgelik rejudg subjudg underjudg unjudg unjudgelik 
tradition: traditions traditionary traditional traditionality traditionally antitraditional antitraditionally nontraditional nontraditionally nontraditionary pretraditional protraditional quasi-traditional quasi-traditionally semitraditional semitraditionally untraditional untraditionally | tradit traditionari antitradit nontradit nontraditionari pretradit protradit quasi-tradit semitradit untradit 
define: defines defined defining definition definable definability definably definement definer misdefine misdefined misdefining nondefinability nondefinable nondefinably nondefined nondefiner predefine predefined predefining redefine redefined redefining self-defined semidefined undefinable | defin definit misdefin nondefin predefin redefin self-defin semidefin undefin 
responsibility: responsible responsibleness responsibly interresponsible nonresponsible nonresponsibleness nonresponsibly preresponsible quasi-responsible quasi-responsibly superresponsible superresponsibleness superresponsibly unresponsible unresponsibleness unresponsibly | respons interrespons nonrespons prerespons quasi-respons superrespons unrespons 
describe: describes described describing describable describability describably describer nondescribable overdescribe overdescribed overdescribing predescribe predescribed predescribing redescribe redescribed redescribing self-described undescribable undescribableness undescribably undescribed well-described | describ nondescrib overdescrib predescrib redescrib self-describ undescrib well-describ 
prove: proves proved proving provable provability provableness provably provenly nonprovable overprove overproved overproven overproving preproved preproven preproving self-proving unprovable unproved unproving | prove provabl proven nonprov overprov overproven preprov self-prov unprov 
natural: naturalness antinatural antinaturally antinaturalness hypernatural hypernaturally hypernaturalness nonnatural nonnaturally nonnaturalness prenatural quasi-natural quasi-naturally subnatural subnaturally subnaturalness transnatural transnaturally | natur antinatur hypernatur nonnatur prenatur quasi-natur subnatur transnatur 
increase: increases increased increasing increasable increasedly nonincreasable nonincrease preincrease preincreased preincreasing proincrease quasi-increased reincrease reincreased reincreasing superincrease superincreased superincreasing unincreasable unincreased increasingly increaser | increas nonincreas preincreas proincreas quasi-increas reincreas superincreas unincreas 
involve: involves involved involving involvedly involvedness noninvolved uninvolved involvement involver interinvolve interinvolved interinvolving noninvolvement overinvolve overinvolved overinvolving preinvolve preinvolved preinvolving preinvolvement reinvolve reinvolved reinvolving reinvolvement | involv involved noninvolv uninvolv interinvolv overinvolv preinvolv reinvolv 
commercial: commercially anticommercial anticommercially anticommercialness countercommercial noncommercial noncommercially precommercial procommercial quasi-commercial quasi-commercially semicommercial semicommercially supercommercial supercommercially ultracommercial | commerci anticommerci countercommerci noncommerci precommerci procommerci quasi-commerci semicommerci supercommerci ultracommerci 
critical: critically criticality criticalness anticritical anticritically anticriticalness half-critical half-critically half-criticalness noncritical noncritically noncriticalness postcritical pseudocritical pseudocritically quasi-critical quasi-critically | critic anticrit anticritic half-crit half-critic noncrit noncritic postcrit pseudocrit quasi-crit 
demonstrate: demonstrates demonstrated demonstrating demonstration demonstratedly counterdemonstrate counterdemonstrated counterdemonstrating predemonstrate predemonstrated predemonstrating redemonstrate redemonstrated redemonstrating subdemonstrate subdemonstrated subdemonstrating undemonstrated well-demonstrated | demonstr counterdemonstr predemonstr redemonstr subdemonstr undemonstr well-demonstr 
effect: effects effected effecting effective effectively effectiveness effectivity preeffective preeffectively quasi-effective quasi-effectively subeffective subeffectively subeffectiveness supereffective supereffectively supereffectiveness uneffective uneffectively uneffectiveness | effect preeffect quasi-effect subeffect supereffect uneffect 
plan: plans planned planning planlessly planlessness misplanned misplanning outplanned outplanning overplanned overplanning preplanned preplanning replanned replanning underplanned underplanning unplanned unplanning | plan planless misplan outplan overplan preplan replan underplan unplan 
reform: reforms reformed reforming re-formation re-former reformable reformability reformableness reformative reformatively reformativeness reformingly unreformable unreformative reformer | reform re-form unreform 
success: successes successful successfully successfulness half-successful half-successfully half-successfulness nonsuccessful nonsuccessfully presuccessful presuccessfully quasi-successful quasi-successfully semisuccessful semisuccessfully succeed succeeds succeeded succeeding | success half-success nonsuccess presuccess quasi-success semisuccess 
politics: political politically antipolitical antipolitically nonpolitical nonpolitically overpolitical overpolitically prepolitical prepolitically pseudopolitical quasi-political quasi-politically subpolitical subpolitically unpolitical unpolitically | polit antipolit nonpolit overpolit prepolit pseudopolit quasi-polit subpolit unpolit 
debate: debates debated debating debater debatingly interdebate interdebated interdebating nondebater nondebating outdebate outdebated outdebating overdebate overdebated overdebating postdebate predebate predebater redebate redebated redebating undebated undebating well-debated | debat interdeb nondebat nondeb outdeb overdeb postdeb predeb predebat redeb undeb well-deb 
level: levels levelled levelling levelly levelness antileveling antilevelling releveled releveling relevelled relevelling self-leveling self-levelling unlevelly unlevelness unleveled unlevelled well-leveled well-levelled | level levelli antilevel relevel self-level unlevel unlevelli well-level 
trade: trades traded trading tradable tradeable intertrade intertraded intertrading nontrade nontrading protrade retrade retraded retrading undertrade undertraded undertrading untradable untradeable untraded untrading | trade tradabl tradeabl intertrad nontrad protrad retrad undertrad untrad 
nation: national nationally antinational antinationally nonnational nonnationally prenational pronational pseudonational pseudonationally quasi-national quasi-nationally subnational unnational unnationally | nation antin nonnat prenat pronat pseudon quasi-n subnat unnat 
encourage: encouragement encourages encouraged encouraging encourager encouragingly overencourage overencouraged overencouraging preencourage preencouraged preencouraging reencourage reencouraged reencouraging unencouraged unencouraging well-encouraged | encourag overencourag preencourag reencourag unencourag well-encourag 
observe: observes observed observing observable observableness observability observably observer observedly observingly nonobserving nonobservingly preobserve preobserved preobserving quasi-observed reobserve reobserved reobserving self-observed unobserved unobserving well-observed | observ nonobserv preobserv quasi-observ reobserv self-observ unobserv well-observ 
reveal: reveals revealed revealing revealable revealability revealableness revealedly revealer revealingly revealingness revealment half-revealed nonrevealing prereveal self-revealed unrevealable unrevealed unrevealing unrevealingly | reveal revealing half-rev nonrev prerev self-rev unreveal unrev 
strike: strikes striked striking antistrike nonstrike outstrike outstricken outstriking poststrike prestrike prestriking prostrike understrike understriking | strike antistrik nonstrik outstrik outstricken poststrik prestrik prostrik understrik 
govern: governs governed governing governmental governmentally countergovernment nongovernment nongovernmental pro-government regovernment semigovernmental semigovernmentally subgovernment undergovernment ungovernmental ungovernmentally | govern government countergovern nongovern nongovernment pro-govern regovern semigovernment subgovern undergovern ungovernment 
physical: physically physicalness antiphysical antiphysically antiphysicalness nonphysical nonphysically quasi-physical quasi-physically transphysical transphysically unphysical unphysically | physic antiphys antiphysic nonphys quasi-phys transphys unphys 
independent: independently nonindependent nonindependently preindependent preindependently pseudoindependent pseudoindependently quasi-independent quasi-independently superindependent superindependently | independ nonindepend preindepend pseudoindepend quasi-independ superindepend 
dream: dreams dreamed dreaming dreamful dreamfully dreamfulness dreamingly dreamlike redreamed redreaming undreamed undreaming undreamlike dreamlessly dreamlessness | dream dreamlik redream undream undreamlik dreamless 
improve: improves improved improving improvements improvable improvability improvableness improvably improvingly improver preimprove preimproved preimproving quasi-improved superimproved well-improved | improv preimprov quasi-improv superimprov well-improv 
interest: interests interesting interested interestedly interestedness overinterested overinterestedly overinterestedness quasi-interested quasi-interestedly well-interested overinterest | interest interested overinterest overinterested quasi-interest well-interest 
professor: professorial professorialism professorially nonprofessorial nonprofessorially pseudoprofessorial unprofessorial unprofessorially | professor professori nonprofessori pseudoprofessori unprofessori 
positive: positiveness positivity overpositive overpositively overpositiveness quasi-positive quasi-positively superpositive superpositively superpositiveness unpositive unpositively unpositiveness | posit overposit quasi-posit superposit unposit 
build: builds building underbuilding buildable misbuilding outbuilding prebuilding superbuilding unbuildable | build underbuild buildabl misbuild outbuild prebuild superbuild 
practice: practices practiced practicing practicer mispractice mispracticed mispracticing nonpractice outpractice outpracticed outpracticing overpractice overpracticed overpracticing prepractice prepracticed prepracticing repractice repracticed repracticing | practic mispractic mispract nonpractic outpractic outpract overpractic overpract prepractic prepract repractic repract 
prevent: prevents prevented preventing preventable preventible preventabilty preventingly nonpreventable nonpreventible quasi-prevented unpreventable unprevented unpreventible preventability preventibility preventably preventibly | prevent preventabilti nonprevent quasi-prev unprevent unprev 
train: trains trained training half-training nontraining pretraining self-training nontrained semitrained undertrained untrained trainable | train half-train nontrain pretrain self-train semitrain undertrain untrain trainabl 
office: official officially nonofficial nonofficially preofficial preofficially pseudoofficial pseudoofficially quasi-official quasi-officially subofficial subofficially underofficial unofficial unofficially | offic offici nonoffici preoffici pseudooffici quasi-offici suboffici underoffici unoffici 
stone: stones stoned stoning stony stonable stoneable stonelessness stonelike unstonable unstoneable | stone stoni stonabl stoneabl stoneless stonelik unston 
benefit: benefits benefitted benefitting benefiter benefitter prebenefited prebenefitted prebenefiting prebenefitting self-benefiting self-benefitting unbenefited unbenefitted unbenefiting unbenefitting | benefit benefitt prebenefit self-benefit unbenefit 
social: socializes socialized socializing socialism socially socialness hypersocial hypersocially intersocial nonsocial nonsocially nonsocialness oversocial oversocially presocial pseudosocial pseudosocially unsocial unsocially | social hypersoci intersoci nonsoci oversoci presoci pseudosoci unsoci 
examine: examines examined examining examinable examinatorial examiner examiningly preexamine preexamined preexamining preexaminer subexaminer superexaminer unexaminable unexamined unexamining well-examined | examin examinatori preexamin subexamin superexamin unexamin well-examin 
modern: modernizes mondernized modernizing modernly modernness antimodern antimodernly antimodernness nonmodernly nonmodernness | modern antimodern nonmodern 
explain: explains explained explaining explanation explainable explainer explanator misexplained nonexplainable unexplainable unexplainably unexplained unexplaining well-explained | explain explan misexplain nonexplain unexplain well-explain 
subject: subjects subjected subjecting subjectable subjectability subjectedly subjectedness subjectlike nonsubjected unsubjected subject-like | subject subjected subjectlik nonsubject unsubject subject-lik 
drive: drives drove driving drivable driveable nondrivable nondriveable predrive predrove predriving redrive redrove redriving undrivable drivability driveability | drive drivabl driveabl nondriv predriv predrov redriv redrov undriv 
international: internationality internationally noninternational noninternationally pseudointernational quasi-international quasi-internationally uninternational | intern nonintern pseudointern quasi-intern unintern 
close: closes closed closing closable closeable closely closeness nonclose nonclosely overclose overclosely overcloseness preclose preclosed preclosing unclosable | close closabl closeabl nonclos overclos preclos unclos 
introduce: introduces introduced introducing introducer introducible quasi-introduced reintroduce reintroduced reintroducing subintroduce subintroduced subintroducing unintroduced unintroducible well-introduced | introduc quasi-introduc reintroduc subintroduc unintroduc well-introduc 
travel: travels travelled travelling travelable nontraveling nontravelling outtraveled outtraveling outtravelled outtravelling pretraveled pretraveling pretravelled pretravelling untraveling untravelling | travel nontravel outtravel pretravel untravel 
admit: admits admitted admitting admittable admittible admitter half-admitted half-admittedly nonadmitted nonadmittedly preadmitted preadmitting readmitted readmitting unadmitted unadmittedly well-admitted | admit admitt half-admit nonadmit preadmit readmit unadmit well-admit 
spread: spreads spreading antispreading prespreading respreading underspreading unspreading spreadability spreadable | spread antispread prespread respread underspread unspread spreadabl 
culture: cultural culturally anticultural anticulturally de-cultural noncultural nonculturally precultural preculturally pseudocultural pseudoculturally transcultural transculturally | cultur anticultur de-cultur noncultur precultur pseudocultur transcultur 
grind: grinds grinded grinding ground groundable groundably groundedly groundedness ungroundable grindable grindability grindingly regrinding ungrindable | grind ground groundabl grounded unground grindabl regrind ungrind 
maintain: maintains maintained maintaining maintainable maintainability maintainer self-maintained self-maintaining undermaintained unmaintainable unmaintained well-maintained | maintain self-maintain undermaintain unmaintain well-maintain 
discuss: discusses discussed discussing discusser discussable discussible nondiscussible undiscussable undiscussed undiscussible well-discussed | discuss nondiscuss undiscuss well-discuss 
average: averages averaged averaging averageable averagely averageness subaverage subaveragely superaverage superaverageness unaveraged underaverage well-averaged | averag subaverag superaverag unaverag underaverag well-averag 
human: humane humanlike humanness quasi-humanly unhumanly unhumanness human-like | human humanlik quasi-human unhuman human-lik 
